Age;AmtWeekdays;AmtWeekends;EthnicityID;Ethnicity;Gender;GrossIncome;MaritalStatus;NationalityID;Nationality;Qualification;Region;Smoke;Type
64;NA;NA;7;White;Female;2600 to 5200;Divorced;2;English;No Qualification;The North;No;
42;NA;NA;7;White;Female;5200 to 10400;Married;4;Other;GCSE/O Level;The North;No;
34;NA;NA;7;White;Female;2600 to 5200;Married;1;British;Higher/Sub Degree;The North;No;
64;NA;NA;7;White;Female;Under 2600;Married;2;English;No Qualification;The North;No;
50;NA;NA;7;White;Female;15600 to 20800;Divorced;2;English;Other/Sub Degree;The North;No;
31;NA;NA;7;White;Female;10400 to 15600;Married;2;English;ONC/BTEC;The North;No;
37;NA;NA;7;White;Female;Above 36400;Married;2;English;Degree;The North;No;
81;NA;NA;7;White;Male;10400 to 15600;Married;2;English;Degree;The North;No;
57;10;10;7;White;Male;5200 to 10400;Separated;8;Welsh;No Qualification;The North;Yes;Hand-Rolled
59;NA;NA;7;White;Female;2600 to 5200;Married;2;English;Higher/Sub Degree;The North;No;
66;NA;NA;7;White;Male;20800 to 28600;Married;2;English;Degree;The North;No;
57;NA;NA;7;White;Male;20800 to 28600;Married;2;English;No Qualification;The North;No;
78;NA;NA;7;White;Female;5200 to 10400;Widowed;2;English;No Qualification;The North;No;
49;NA;NA;7;White;Male;20800 to 28600;Married;2;English;Degree;The North;No;
62;NA;NA;7;White;Female;15600 to 20800;Married;2;English;GCSE/O Level;The North;No;
17;NA;NA;7;White;Female;2600 to 5200;Single;2;English;GCSE/CSE;The North;No;
36;NA;NA;7;White;Female;15600 to 20800;Single;2;English;GCSE/O Level;The North;No;
31;7;7;7;White;Female;Refused;Single;2;English;No Qualification;The North;Yes;Packets
61;25;25;7;White;Female;15600 to 20800;Married;2;English;Higher/Sub Degree;The North;Yes;Packets
71;40;40;7;White;Male;15600 to 20800;Widowed;2;English;No Qualification;The North;Yes;Packets
75;12;12;7;White;Female;5200 to 10400;Widowed;2;English;No Qualification;The North;Yes;Packets
43;NA;NA;7;White;Female;Above 36400;Married;2;English;Higher/Sub Degree;The North;No;
68;NA;NA;7;White;Female;Refused;Widowed;2;English;No Qualification;The North;No;
65;NA;NA;7;White;Female;15600 to 20800;Widowed;2;English;Degree;The North;No;
85;NA;NA;7;White;Female;5200 to 10400;Widowed;1;British;No Qualification;The North;No;
35;20;20;7;White;Female;5200 to 10400;Separated;2;English;GCSE/O Level;The North;Yes;Both/Mainly Hand-Rolled
52;NA;NA;7;White;Female;15600 to 20800;Married;1;British;Higher/Sub Degree;The North;No;
28;15;15;7;White;Female;5200 to 10400;Single;2;English;ONC/BTEC;The North;Yes;Packets
52;NA;NA;7;White;Male;20800 to 28600;Single;2;English;ONC/BTEC;The North;No;
67;25;25;7;White;Male;5200 to 10400;Widowed;3;Irish;No Qualification;The North;Yes;Hand-Rolled
35;30;30;7;White;Female;5200 to 10400;Divorced;2;English;No Qualification;The North;Yes;Both/Mainly Hand-Rolled
68;NA;NA;7;White;Female;2600 to 5200;Married;2;English;No Qualification;The North;No;
34;NA;NA;7;White;Female;10400 to 15600;Married;4;Other;Higher/Sub Degree;The North;No;
57;12;20;7;White;Female;2600 to 5200;Divorced;1;British;No Qualification;The North;Yes;Hand-Rolled
37;8;8;7;White;Male;15600 to 20800;Married;2;English;Higher/Sub Degree;The North;Yes;Hand-Rolled
37;15;15;7;White;Female;5200 to 10400;Divorced;2;English;No Qualification;The North;Yes;Packets
43;15;15;7;White;Male;10400 to 15600;Divorced;1;British;No Qualification;The North;Yes;Packets
59;NA;NA;7;White;Male;2600 to 5200;Widowed;1;British;GCSE/O Level;The North;No;
28;NA;NA;7;White;Female;10400 to 15600;Single;6;Scottish;Degree;The North;No;
60;NA;NA;7;White;Female;5200 to 10400;Married;2;English;No Qualification;The North;No;
16;NA;NA;7;White;Male;Under 2600;Single;1;British;GCSE/O Level;The North;No;
37;40;40;7;White;Male;2600 to 5200;Single;1;British;No Qualification;The North;Yes;Hand-Rolled
34;NA;NA;7;White;Male;15600 to 20800;Married;2;English;No Qualification;The North;No;
73;NA;NA;7;White;Female;5200 to 10400;Married;1;British;No Qualification;The North;No;
24;NA;NA;7;White;Male;10400 to 15600;Single;2;English;GCSE/O Level;The North;No;
36;NA;NA;7;White;Female;15600 to 20800;Single;1;British;Higher/Sub Degree;The North;No;
39;20;20;7;White;Male;10400 to 15600;Separated;1;British;GCSE/O Level;The North;Yes;Both/Mainly Packets
74;NA;NA;7;White;Female;Refused;Married;2;English;No Qualification;The North;No;
32;15;15;7;White;Female;Under 2600;Married;2;English;GCSE/CSE;The North;Yes;Packets
30;NA;NA;7;White;Female;15600 to 20800;Married;4;Other;Degree;The North;No;
68;NA;NA;7;White;Female;15600 to 20800;Married;2;English;GCSE/O Level;The North;No;
49;NA;NA;5;Refused;Female;Refused;Married;5;Refused;No Qualification;The North;No;
47;NA;NA;7;White;Female;2600 to 5200;Married;2;English;Higher/Sub Degree;The North;No;
30;30;30;7;White;Male;10400 to 15600;Single;1;British;Higher/Sub Degree;The North;Yes;Hand-Rolled
60;8;15;7;White;Male;10400 to 15600;Divorced;2;English;No Qualification;The North;Yes;Hand-Rolled
72;NA;NA;7;White;Male;15600 to 20800;Single;2;English;Other/Sub Degree;The North;No;
73;NA;NA;7;White;Male;10400 to 15600;Married;2;English;Degree;The North;No;
48;4;20;7;White;Female;10400 to 15600;Widowed;2;English;GCSE/O Level;The North;Yes;Packets
53;NA;NA;7;White;Male;Above 36400;Divorced;2;English;Degree;The North;No;
17;NA;NA;7;White;Male;Refused;Single;2;English;GCSE/O Level;The North;No;
58;NA;NA;7;White;Female;5200 to 10400;Married;2;English;GCSE/O Level;The North;No;
34;NA;NA;7;White;Female;10400 to 15600;Married;2;English;ONC/BTEC;The North;No;
44;NA;NA;7;White;Male;15600 to 20800;Single;1;British;GCSE/O Level;The North;No;
23;NA;NA;7;White;Male;5200 to 10400;Single;2;English;No Qualification;The North;No;
49;NA;NA;7;White;Male;20800 to 28600;Married;1;British;Degree;The North;No;
30;NA;NA;7;White;Male;15600 to 20800;Married;1;British;Degree;The North;No;
61;NA;NA;7;White;Female;5200 to 10400;Widowed;2;English;GCSE/O Level;The North;No;
38;9;9;7;White;Male;10400 to 15600;Separated;1;British;A Levels;The North;Yes;Hand-Rolled
30;NA;NA;7;White;Male;10400 to 15600;Single;1;British;Degree;The North;No;
44;NA;NA;7;White;Female;15600 to 20800;Married;2;English;A Levels;The North;No;
91;NA;NA;7;White;Male;Under 2600;Widowed;2;English;No Qualification;The North;No;
40;NA;NA;7;White;Male;Above 36400;Divorced;1;British;GCSE/O Level;The North;No;
63;NA;NA;7;White;Female;2600 to 5200;Married;1;British;Degree;The North;No;
61;30;30;7;White;Female;2600 to 5200;Divorced;1;British;No Qualification;The North;Yes;Packets
40;NA;NA;7;White;Female;5200 to 10400;Married;2;English;Higher/Sub Degree;The North;No;
57;15;15;7;White;Female;Under 2600;Married;1;British;No Qualification;The North;Yes;Both/Mainly Packets
41;NA;NA;7;White;Female;28600 to 36400;Married;1;British;Degree;The North;No;
32;5;7;7;White;Female;2600 to 5200;Single;2;English;No Qualification;The North;Yes;Hand-Rolled
76;NA;NA;7;White;Male;5200 to 10400;Married;2;English;No Qualification;The North;No;
35;2;2;7;White;Female;10400 to 15600;Divorced;2;English;GCSE/O Level;The North;Yes;Packets
70;NA;NA;7;White;Male;5200 to 10400;Married;2;English;No Qualification;The North;No;
75;NA;NA;7;White;Female;5200 to 10400;Widowed;1;British;No Qualification;The North;No;
74;NA;NA;7;White;Female;2600 to 5200;Widowed;2;English;No Qualification;The North;No;
49;NA;NA;7;White;Male;Above 36400;Married;1;British;Degree;The North;No;
56;NA;NA;7;White;Female;Under 2600;Married;1;British;GCSE/O Level;The North;No;
60;NA;NA;7;White;Male;15600 to 20800;Married;2;English;Degree;The North;No;
72;NA;NA;7;White;Female;5200 to 10400;Widowed;2;English;No Qualification;The North;No;
17;NA;NA;7;White;Male;5200 to 10400;Single;2;English;GCSE/O Level;The North;No;
23;NA;NA;7;White;Female;20800 to 28600;Single;2;English;Degree;The North;No;
79;NA;NA;7;White;Male;5200 to 10400;Married;2;English;No Qualification;The North;No;
65;NA;NA;7;White;Female;2600 to 5200;Separated;1;British;No Qualification;The North;No;
57;NA;NA;7;White;Female;5200 to 10400;Married;2;English;Degree;The North;No;
37;NA;NA;7;White;Female;15600 to 20800;Married;1;British;GCSE/O Level;The North;No;
79;NA;NA;7;White;Male;5200 to 10400;Single;2;English;No Qualification;The North;No;
71;NA;NA;7;White;Female;2600 to 5200;Single;2;English;No Qualification;The North;No;
87;NA;NA;5;Refused;Female;Unknown;Widowed;5;Refused;No Qualification;The North;No;
59;40;40;7;White;Male;28600 to 36400;Married;2;English;Degree;The North;Yes;Packets
21;8;20;7;White;Male;10400 to 15600;Single;2;English;ONC/BTEC;The North;Yes;Packets
66;NA;NA;7;White;Female;Under 2600;Married;2;English;No Qualification;The North;No;
58;NA;NA;7;White;Male;28600 to 36400;Married;8;Welsh;Higher/Sub Degree;The North;No;
38;15;30;7;White;Male;Above 36400;Married;2;English;GCSE/O Level;The North;Yes;Both/Mainly Packets
61;NA;NA;7;White;Male;15600 to 20800;Widowed;6;Scottish;Other/Sub Degree;The North;No;
37;NA;NA;7;White;Male;Above 36400;Separated;2;English;Degree;The North;No;
38;NA;NA;7;White;Female;5200 to 10400;Married;2;English;GCSE/O Level;The North;No;
34;NA;NA;7;White;Male;28600 to 36400;Married;2;English;Degree;The North;No;
34;NA;NA;7;White;Female;10400 to 15600;Married;1;British;Higher/Sub Degree;The North;No;
20;NA;NA;7;White;Female;2600 to 5200;Single;2;English;GCSE/O Level;The North;No;
77;20;20;7;White;Female;5200 to 10400;Widowed;2;English;No Qualification;The North;Yes;Packets
31;15;20;7;White;Female;2600 to 5200;Single;2;English;GCSE/O Level;The North;Yes;Hand-Rolled
28;2;2;7;White;Male;2600 to 5200;Single;2;English;No Qualification;The North;Yes;Packets
36;NA;NA;7;White;Female;5200 to 10400;Married;1;British;GCSE/CSE;The North;No;
16;12;12;7;White;Female;5200 to 10400;Single;1;British;GCSE/O Level;The North;Yes;Packets
42;NA;NA;7;White;Male;5200 to 10400;Married;2;English;GCSE/O Level;The North;No;
47;NA;NA;7;White;Female;Under 2600;Married;2;English;Higher/Sub Degree;The North;No;
42;NA;NA;7;White;Male;28600 to 36400;Married;1;British;GCSE/CSE;The North;No;
67;NA;NA;7;White;Female;2600 to 5200;Widowed;1;British;No Qualification;The North;No;
72;NA;NA;7;White;Female;5200 to 10400;Single;2;English;No Qualification;The North;No;
40;30;25;7;White;Male;10400 to 15600;Divorced;2;English;GCSE/O Level;The North;Yes;Packets
34;NA;NA;7;White;Female;Above 36400;Single;2;English;Degree;The North;No;
75;NA;NA;7;White;Male;15600 to 20800;Married;2;English;No Qualification;The North;No;
35;NA;NA;7;White;Female;5200 to 10400;Married;2;English;GCSE/O Level;The North;No;
40;10;10;7;White;Female;5200 to 10400;Separated;1;British;No Qualification;The North;Yes;Packets
46;NA;NA;7;White;Female;15600 to 20800;Married;1;British;No Qualification;The North;No;
23;NA;NA;7;White;Male;15600 to 20800;Married;2;English;GCSE/O Level;The North;No;
42;NA;NA;7;White;Male;10400 to 15600;Married;1;British;GCSE/O Level;The North;No;
63;NA;NA;7;White;Male;2600 to 5200;Married;2;English;No Qualification;The North;No;
33;NA;NA;7;White;Female;5200 to 10400;Married;1;British;A Levels;The North;No;
31;NA;NA;7;White;Female;15600 to 20800;Married;2;English;GCSE/O Level;The North;No;
54;NA;NA;7;White;Male;5200 to 10400;Single;2;English;No Qualification;The North;No;
33;NA;NA;7;White;Female;15600 to 20800;Single;1;British;ONC/BTEC;The North;No;
24;8;12;7;White;Female;15600 to 20800;Single;2;English;Degree;The North;Yes;Hand-Rolled
80;NA;NA;7;White;Female;5200 to 10400;Widowed;1;British;No Qualification;The North;No;
77;NA;NA;7;White;Female;2600 to 5200;Single;2;English;No Qualification;The North;No;
51;NA;NA;7;White;Male;10400 to 15600;Married;2;English;No Qualification;The North;No;
16;NA;NA;7;White;Male;Refused;Single;2;English;GCSE/O Level;The North;No;
27;15;15;7;White;Male;Refused;Single;2;English;ONC/BTEC;The North;Yes;Packets
75;NA;NA;7;White;Female;2600 to 5200;Single;2;English;No Qualification;The North;No;
24;NA;NA;7;White;Female;5200 to 10400;Single;4;Other;Degree;The North;No;
78;50;50;7;White;Male;5200 to 10400;Widowed;2;English;No Qualification;The North;Yes;Both/Mainly Packets
20;NA;NA;7;White;Female;5200 to 10400;Single;1;British;GCSE/O Level;The North;No;
18;NA;NA;7;White;Male;5200 to 10400;Single;2;English;GCSE/CSE;The North;No;
25;NA;NA;7;White;Female;10400 to 15600;Separated;2;English;ONC/BTEC;The North;No;
55;7;10;4;Mixed;Female;5200 to 10400;Separated;2;English;No Qualification;The North;Yes;Both/Mainly Hand-Rolled
29;5;10;7;White;Female;10400 to 15600;Married;2;English;Higher/Sub Degree;The North;Yes;Packets
67;NA;NA;7;White;Female;5200 to 10400;Divorced;2;English;No Qualification;The North;No;
79;NA;NA;7;White;Female;5200 to 10400;Widowed;2;English;No Qualification;The North;No;
44;NA;NA;7;White;Male;20800 to 28600;Single;1;British;No Qualification;The North;No;
47;NA;NA;7;White;Male;20800 to 28600;Married;1;British;Degree;The North;No;
41;NA;NA;7;White;Female;10400 to 15600;Divorced;1;British;GCSE/O Level;The North;No;
31;0;5;7;White;Female;10400 to 15600;Married;1;British;GCSE/O Level;The North;Yes;Packets
32;NA;NA;7;White;Male;10400 to 15600;Married;6;Scottish;Other/Sub Degree;The North;No;
68;NA;NA;7;White;Female;Refused;Widowed;2;English;No Qualification;The North;No;
84;NA;NA;7;White;Female;Under 2600;Widowed;1;British;No Qualification;The North;No;
67;NA;NA;7;White;Male;10400 to 15600;Married;2;English;No Qualification;The North;No;
49;NA;NA;7;White;Male;10400 to 15600;Married;1;British;No Qualification;The North;No;
69;8;6;7;White;Male;5200 to 10400;Married;2;English;No Qualification;The North;Yes;Hand-Rolled
64;18;16;7;White;Male;28600 to 36400;Married;2;English;Higher/Sub Degree;The North;Yes;Packets
62;NA;NA;7;White;Male;20800 to 28600;Married;2;English;No Qualification;The North;No;
52;NA;NA;7;White;Male;5200 to 10400;Divorced;1;British;No Qualification;The North;No;
45;NA;NA;7;White;Male;28600 to 36400;Married;2;English;ONC/BTEC;The North;No;
28;15;15;7;White;Female;10400 to 15600;Divorced;2;English;No Qualification;The North;Yes;Packets
36;NA;NA;7;White;Female;10400 to 15600;Single;2;English;GCSE/O Level;The North;No;
73;NA;NA;7;White;Female;5200 to 10400;Divorced;2;English;No Qualification;The North;No;
48;NA;NA;7;White;Male;10400 to 15600;Widowed;2;English;No Qualification;The North;No;
67;10;10;7;White;Male;10400 to 15600;Widowed;1;British;No Qualification;The North;Yes;Both/Mainly Hand-Rolled
38;NA;NA;7;White;Female;20800 to 28600;Divorced;1;British;GCSE/O Level;The North;No;
40;0;5;7;White;Female;10400 to 15600;Divorced;2;English;GCSE/CSE;The North;Yes;Packets
43;NA;NA;7;White;Male;15600 to 20800;Single;1;British;Other/Sub Degree;The North;No;
30;NA;NA;7;White;Female;10400 to 15600;Single;2;English;Degree;The North;No;
70;NA;NA;7;White;Female;5200 to 10400;Widowed;1;British;No Qualification;The North;No;
82;NA;NA;7;White;Female;5200 to 10400;Widowed;1;British;No Qualification;The North;No;
78;NA;NA;7;White;Female;5200 to 10400;Widowed;2;English;No Qualification;The North;No;
21;10;20;7;White;Male;Under 2600;Single;2;English;GCSE/O Level;The North;Yes;Packets
67;NA;NA;7;White;Male;15600 to 20800;Widowed;2;English;No Qualification;The North;No;
16;NA;NA;7;White;Male;Refused;Single;2;English;GCSE/O Level;The North;No;
21;15;40;7;White;Female;5200 to 10400;Single;2;English;GCSE/CSE;The North;Yes;Packets
68;8;8;7;White;Male;5200 to 10400;Separated;2;English;No Qualification;The North;Yes;Packets
41;10;20;7;White;Male;2600 to 5200;Married;1;British;No Qualification;The North;Yes;Packets
33;NA;NA;7;White;Male;15600 to 20800;Single;1;British;GCSE/O Level;The North;No;
28;NA;NA;7;White;Female;Under 2600;Married;1;British;No Qualification;The North;No;
75;5;5;7;White;Female;2600 to 5200;Married;1;British;No Qualification;The North;Yes;Packets
21;10;5;7;White;Female;5200 to 10400;Single;2;English;Other/Sub Degree;The North;Yes;Packets
69;NA;NA;7;White;Female;2600 to 5200;Divorced;2;English;GCSE/CSE;The North;No;
38;NA;NA;7;White;Female;5200 to 10400;Married;2;English;GCSE/O Level;The North;No;
33;4;10;7;White;Female;5200 to 10400;Single;2;English;GCSE/O Level;The North;Yes;Packets
47;NA;NA;7;White;Female;5200 to 10400;Married;2;English;No Qualification;The North;No;
44;35;35;7;White;Female;2600 to 5200;Single;2;English;GCSE/CSE;The North;Yes;Hand-Rolled
74;NA;NA;7;White;Female;Under 2600;Married;2;English;No Qualification;The North;No;
29;NA;NA;7;White;Female;Under 2600;Married;2;English;GCSE/O Level;The North;No;
23;NA;NA;1;Asian;Female;Under 2600;Married;4;Other;A Levels;The North;No;
72;NA;NA;7;White;Female;2600 to 5200;Widowed;2;English;No Qualification;The North;No;
31;8;10;1;Asian;Female;5200 to 10400;Widowed;2;English;No Qualification;The North;Yes;Packets
48;NA;NA;1;Asian;Female;Under 2600;Married;1;British;No Qualification;The North;No;
29;NA;NA;7;White;Female;5200 to 10400;Married;2;English;GCSE/O Level;The North;No;
72;NA;NA;2;Black;Male;5200 to 10400;Married;2;English;Other/Sub Degree;The North;No;
52;NA;NA;7;White;Female;Unknown;Married;2;English;No Qualification;The North;No;
68;NA;NA;7;White;Female;5200 to 10400;Single;2;English;Degree;The North;No;
48;40;40;3;Chinese;Male;15600 to 20800;Married;1;British;Other/Sub Degree;The North;Yes;Both/Mainly Packets
55;NA;NA;7;White;Female;10400 to 15600;Married;2;English;GCSE/O Level;The North;No;
23;7;7;7;White;Female;10400 to 15600;Married;1;British;ONC/BTEC;The North;Yes;Packets
66;NA;NA;7;White;Female;2600 to 5200;Widowed;1;British;No Qualification;The North;No;
33;NA;NA;7;White;Female;15600 to 20800;Single;1;British;ONC/BTEC;The North;No;
37;10;10;7;White;Female;Under 2600;Married;1;British;GCSE/CSE;The North;Yes;Packets
42;NA;NA;7;White;Male;20800 to 28600;Married;2;English;Degree;The North;No;
46;20;20;7;White;Female;10400 to 15600;Married;1;British;No Qualification;The North;Yes;Hand-Rolled
57;NA;NA;7;White;Male;28600 to 36400;Married;2;English;Other/Sub Degree;The North;No;
36;NA;NA;7;White;Female;Under 2600;Married;2;English;GCSE/O Level;The North;No;
51;NA;NA;7;White;Female;20800 to 28600;Married;6;Scottish;GCSE/O Level;The North;No;
18;8;8;7;White;Female;Refused;Single;1;British;GCSE/O Level;The North;Yes;Hand-Rolled
69;NA;NA;7;White;Female;Under 2600;Married;2;English;GCSE/O Level;The North;No;
30;NA;NA;7;White;Male;15600 to 20800;Single;2;English;Degree;The North;No;
